ENEMY,ROWID,CH1Pos,CH2Pos,CH3Pos,CH4Pos,CH5Pos
0,419,4,3,2,0,1
0,425,2,1,4,0,3
0,430,2,1,3,4,0
0,435,1,2,0,4,3
0,440,4,3,2,0,1
0,441,0,4,2,3,1
0,442,0,3,4,1,2
0,444,3,0,1,4,2
0,445,4,2,3,0,1
0,448,2,4,3,1,0
0,449,1,0,4,2,3
0,451,2,4,3,0,1
0,452,3,4,0,1,2
0,455,1,2,3,4,0
0,456,2,4,3,0,1
0,457,3,0,2,1,4
0,459,2,4,3,0,1
0,460,1,4,0,3,2
0,469,0,1,3,2,4
0,470,1,0,4,2,3
0,471,4,2,0,3,1
0,472,3,0,4,1,2
0,475,0,1,3,4,2
0,478,3,0,1,4,2
0,479,2,3,4,0,1
0,481,4,2,0,1,3
0,482,4,3,1,0,2
0,483,1,2,4,0,3
0,484,1,2,3,0,4
0,485,0,4,1,3,2
0,489,4,2,1,0,3
0,490,1,0,4,2,3
0,494,1,2,0,3,4
0,496,2,4,3,1,0
0,498,3,2,1,0,4
0,501,1,2,3,4,0
0,503,3,2,0,4,1
0,505,2,3,4,0,1
0,508,0,2,3,4,1
0,509,4,2,0,1,3
0,511,0,3,2,4,1
0,514,4,0,3,2,1
0,517,2,1,0,3,4
0,519,1,2,4,0,3
0,521,0,3,4,1,2
0,523,2,3,0,1,4
0,526,0,1,4,3,2
0,527,3,4,1,2,0
0,528,4,0,1,2,3
0,529,0,3,2,1,4
0,532,4,2,0,1,3
0,533,2,1,4,3,0
0,534,4,3,1,2,0
0,536,4,3,1,2,0
0,538,1,2,3,4,0
0,539,2,1,0,4,3
0,544,2,0,3,1,4
0,551,1,2,4,3,0
0,552,1,2,0,3,4
0,553,2,3,4,1,0
0,554,3,4,2,1,0
0,556,0,3,4,2,1
0,557,0,3,4,2,1
0,559,2,3,1,4,0
0,561,0,2,3,1,4
0,568,0,3,4,1,2
0,570,1,3,2,0,4
0,576,4,0,3,2,1
0,577,2,3,1,0,4
0,578,4,0,1,3,2
0,579,3,2,4,0,1
0,580,2,4,3,0,1
0,583,1,2,3,4,0
0,584,4,0,2,1,3
0,588,0,3,4,2,1
0,591,0,3,2,4,1
0,592,2,1,3,4,0
0,594,1,0,4,3,2
0,596,0,1,4,2,3
0,598,2,0,1,4,3
0,599,3,2,1,0,4
0,603,1,2,0,4,3
0,604,3,4,0,2,1
0,606,4,3,2,1,0
0,607,4,2,3,0,1
0,608,3,0,1,4,2
0,609,1,4,3,2,0
0,610,0,3,2,1,4
0,611,1,0,3,2,4
0,612,4,2,1,0,3
0,615,2,0,1,4,3
0,617,3,0,4,2,1
0,618,0,1,4,3,2
0,620,0,1,3,4,2
0,622,2,3,1,0,4
0,624,2,3,4,1,0
0,625,3,4,2,1,0
0,627,3,4,1,2,0
0,628,0,3,4,1,2
0,630,2,4,3,0,1
0,632,1,0,3,4,2
0,634,0,4,3,1,2
0,635,3,0,4,1,2
0,637,0,1,3,4,2
0,641,2,1,4,0,3
0,642,3,0,1,4,2
0,643,3,0,2,4,1
0,644,3,4,2,1,0
0,646,3,0,2,4,1
0,649,3,2,4,0,1
0,650,0,3,4,2,1
0,651,3,2,0,1,4
0,652,1,2,4,3,0
0,656,1,4,2,3,0
0,660,1,0,2,4,3
0,662,3,0,2,4,1
0,663,2,4,0,3,1
0,668,3,0,2,1,4
0,669,0,4,3,1,2
0,670,1,0,2,3,4
0,674,4,0,1,3,2
0,676,1,4,2,0,3
0,683,0,3,4,1,2
0,684,4,2,0,1,3
0,686,2,3,4,0,1
0,687,0,1,3,4,2
0,690,0,2,1,4,3
0,691,1,0,4,3,2
0,692,2,4,0,3,1
0,697,4,0,1,3,2
0,703,3,4,0,1,2
0,705,2,4,0,1,3
0,710,3,4,1,0,2
0,713,2,0,4,3,1
0,714,0,2,3,1,4
0,720,1,3,2,4,0
0,722,3,1,4,0,2
0,724,0,2,1,3,4
0,726,3,0,1,4,2
0,728,3,0,2,4,1
0,730,3,1,2,0,4
0,731,1,3,2,4,0
0,732,0,1,3,4,2
0,737,1,3,4,2,0
0,742,3,4,1,2,0
0,745,0,1,4,2,3
0,747,0,1,4,2,3
0,754,0,2,4,3,1
0,755,1,4,2,3,0
0,759,2,4,0,1,3
0,762,1,0,4,3,2
0,763,2,4,0,1,3
0,767,0,3,1,4,2
0,769,1,0,3,2,4
0,770,3,4,0,1,2
0,773,1,2,0,4,3
0,774,0,4,2,1,3
0,776,1,2,0,3,4
0,779,2,4,1,0,3
0,782,0,3,4,1,2
0,784,3,4,2,1,0
0,785,4,2,1,0,3
0,791,0,3,4,2,1
0,796,1,0,2,4,3
0,798,3,1,2,4,0
0,802,3,0,1,2,4
0,804,3,0,1,2,4
0,807,1,4,2,3,0
0,808,4,3,2,0,1
0,810,1,0,2,3,4
0,813,4,3,1,0,2
0,817,4,2,0,1,3
0,821,3,0,2,1,4
0,823,3,4,2,1,0
0,831,4,3,1,2,0
0,834,4,0,1,3,2
0,835,3,1,0,2,4
0,837,4,2,3,1,0
0,841,2,3,1,4,0
0,842,3,4,1,0,2
0,844,4,3,1,2,0
0,845,4,3,2,0,1
0,849,4,0,2,1,3
0,858,2,4,0,1,3
0,859,1,2,3,0,4
0,863,3,1,4,2,0
0,864,4,2,3,0,1
0,866,3,4,1,2,0
0,869,2,0,4,1,3
0,873,2,3,1,0,4
0,881,2,0,1,3,4
0,883,4,3,0,2,1
0,884,3,2,1,0,4
0,886,4,2,0,3,1
0,890,3,4,0,2,1
0,891,2,0,1,3,4
0,892,2,0,1,4,3
0,893,1,3,2,0,4
0,895,0,1,3,4,2
0,897,3,4,0,2,1
0,901,2,4,0,3,1
0,906,0,3,2,1,4
0,909,1,3,4,2,0
0,912,3,1,2,4,0
0,916,2,3,0,4,1
0,917,0,2,3,1,4
0,920,0,1,3,2,4
0,922,4,1,2,0,3
0,923,0,2,4,1,3
0,926,4,1,2,0,3
0,927,4,1,0,3,2
0,932,2,4,3,0,1
0,938,0,1,3,4,2
0,939,3,2,4,0,1
0,945,1,3,4,0,2
0,946,0,1,4,2,3
0,948,0,3,2,1,4
0,951,1,4,3,2,0
0,956,0,3,4,2,1
0,958,1,4,2,3,0
0,959,1,4,0,2,3
0,961,0,1,2,3,4
0,963,1,0,4,2,3
0,965,0,4,1,2,3
0,971,2,1,0,4,3
0,972,3,4,2,1,0
0,973,3,4,0,2,1
0,975,2,1,4,3,0
0,976,4,2,1,0,3
0,982,2,1,3,4,0
0,987,1,4,2,3,0
0,990,4,3,1,0,2
0,993,0,1,2,4,3
0,995,1,3,2,4,0
0,1001,1,4,3,0,2
0,1002,1,4,3,2,0
0,1005,3,0,1,2,4
0,1007,1,2,0,4,3
0,1009,4,0,2,3,1
0,1018,3,4,0,1,2
0,1023,4,2,0,1,3
0,1025,4,0,3,2,1
0,1026,2,1,0,4,3
0,1028,1,2,0,3,4
0,1030,3,1,4,0,2
0,1031,3,4,1,0,2
0,1032,4,3,0,2,1
0,1035,4,0,2,3,1
0,1044,4,2,1,3,0
0,1045,3,1,4,0,2
0,1046,0,4,2,1,3
0,1049,0,4,3,2,1
0,1051,1,2,0,4,3
0,1061,2,4,3,1,0
0,1063,4,0,3,1,2
0,1064,3,4,2,1,0
0,1065,3,1,4,2,0
0,1066,1,0,2,3,4
0,1072,4,0,1,2,3
0,1074,4,2,1,3,0
0,1075,4,0,2,3,1
0,1076,4,2,3,0,1
0,1079,2,3,4,1,0
0,1081,0,2,1,4,3
0,1083,2,0,1,3,4
0,1084,1,2,0,4,3
0,1087,2,4,1,3,0
0,1088,3,4,0,2,1
0,1089,3,0,2,1,4
0,1092,0,3,2,4,1
0,1093,0,3,4,2,1
0,1094,3,0,2,1,4
0,1099,2,1,0,4,3
0,1102,3,4,2,1,0
0,1105,4,0,1,3,2
0,1110,3,2,0,1,4
0,1112,4,1,0,2,3
0,1115,0,4,3,1,2
0,1119,3,1,0,2,4
0,1120,4,0,3,1,2
0,1122,2,3,4,0,1
0,1124,4,1,3,0,2
0,1127,4,1,3,2,0
0,1128,0,4,3,1,2
0,1129,3,4,2,0,1
0,1131,4,3,0,1,2
0,1132,3,0,4,1,2
0,1133,3,4,0,1,2
0,1149,3,1,2,0,4
0,1150,0,2,4,3,1
0,1151,0,4,3,1,2
0,1159,4,1,0,2,3
0,1165,0,4,2,3,1
0,1166,1,0,3,2,4
0,1167,2,0,4,1,3
0,1174,2,3,1,4,0
0,1176,2,3,0,1,4
0,1182,2,4,3,1,0
0,1184,0,2,4,1,3
0,1186,4,3,2,1,0
0,1191,3,2,1,4,0
0,1192,4,1,2,3,0
0,1197,2,0,1,4,3
0,1200,4,3,0,2,1
0,1201,3,1,4,0,2
0,1202,4,2,0,1,3
0,1204,4,2,0,3,1
0,1207,2,0,3,4,1
0,1208,2,0,1,4,3
0,1211,0,4,2,3,1
0,1218,2,3,4,1,0
0,1219,3,2,4,0,1
0,1226,4,1,2,0,3
0,1227,3,1,0,2,4
0,1231,4,0,1,2,3
0,1233,0,2,3,4,1
0,1237,0,1,2,4,3
0,1238,0,2,3,1,4
0,1242,0,4,2,1,3
0,1244,2,3,4,1,0
0,1245,4,2,3,0,1
0,1248,0,4,3,2,1
0,1249,2,4,0,1,3
0,1253,2,4,1,0,3
0,1257,3,1,2,4,0
0,1258,2,3,4,0,1
0,1263,0,3,4,1,2
0,1264,2,4,3,1,0
0,1266,0,1,4,2,3
0,1267,4,2,1,3,0
0,1273,4,2,1,0,3
0,1274,2,4,3,1,0
0,1275,3,4,0,2,1
0,1276,4,0,1,2,3
0,1280,3,0,2,4,1
0,1281,4,0,1,3,2
0,1282,3,0,1,2,4
0,1283,0,1,3,4,2
0,1285,1,0,2,4,3
0,1286,4,3,2,0,1
0,1290,3,0,4,2,1
0,1291,2,4,3,0,1
0,1293,1,3,4,2,0
0,1297,4,1,2,3,0
0,1298,3,4,2,1,0
0,1301,4,0,2,3,1
0,1304,2,4,0,3,1
0,1305,1,3,0,2,4
0,1309,2,0,4,1,3
0,1310,1,4,2,0,3
0,1313,1,2,4,3,0
0,1315,2,4,3,0,1
0,1316,4,2,1,3,0
0,1319,1,4,3,0,2
0,1321,2,0,3,1,4
0,1325,3,4,0,1,2
0,1328,3,2,4,1,0
0,1331,0,4,3,2,1
0,1337,0,2,1,3,4
0,1339,2,4,0,1,3
0,1345,3,1,0,2,4
0,1351,4,0,3,1,2
0,1354,1,3,0,2,4
0,1357,4,0,2,3,1
0,1360,3,1,2,4,0
0,1361,4,2,0,1,3
0,1362,0,3,4,2,1
0,1366,1,0,4,2,3
0,1369,4,1,3,0,2
0,1373,1,2,4,0,3
0,1377,0,2,4,3,1
0,1378,2,1,0,3,4
0,1383,0,1,4,2,3
0,1384,0,3,1,4,2
0,1387,1,3,0,4,2
0,1388,3,0,2,4,1
0,1389,3,1,4,0,2
0,1391,2,4,0,1,3
0,1398,0,2,1,4,3
0,1403,1,0,4,2,3
0,1404,1,2,3,4,0
0,1405,1,0,4,2,3
0,1408,4,0,1,2,3
0,1409,2,1,0,4,3
0,1412,2,0,4,3,1
0,1416,2,3,0,1,4
0,1418,3,4,2,1,0
0,1422,0,2,1,4,3
0,1427,0,3,2,4,1
0,1430,4,1,3,0,2
0,1431,3,2,4,0,1
0,1434,4,0,3,2,1
0,1435,4,1,2,0,3
0,1436,3,0,4,1,2
0,1441,4,2,1,3,0
0,1442,1,3,0,2,4
0,1443,0,2,1,4,3
0,1445,1,4,3,2,0
0,1446,2,0,1,3,4
0,1448,2,4,0,1,3
0,1452,2,3,0,4,1
0,1460,3,2,0,4,1
0,1463,1,3,0,4,2
0,1466,3,2,1,4,0
0,1468,4,2,1,0,3
0,1470,0,1,3,4,2
0,1475,3,0,4,1,2
0,1476,1,3,0,4,2
0,1477,4,3,1,0,2
0,1481,1,2,0,3,4
0,1485,1,3,4,0,2
0,1487,1,3,0,2,4
0,1489,0,1,4,3,2
0,1496,0,3,4,1,2
0,1499,1,2,4,3,0
0,1503,1,0,4,2,3
0,1504,3,1,2,4,0
0,1506,3,4,1,0,2
0,1508,0,3,1,2,4
0,1509,3,0,1,2,4
0,1510,4,2,0,1,3
0,1515,0,1,2,4,3
0,1516,2,4,0,3,1
0,1522,3,1,4,2,0
0,1523,3,0,4,1,2
0,1524,0,3,2,1,4
0,1526,4,0,3,2,1
0,1527,4,3,2,0,1
0,1528,2,3,1,0,4
0,1531,3,4,1,2,0
0,1533,2,0,1,4,3
0,1534,0,2,1,3,4
0,1535,4,3,2,0,1
0,1536,2,4,1,3,0
0,1539,1,0,4,3,2
0,1545,3,2,1,4,0
0,1546,2,0,4,1,3
0,1548,4,3,0,2,1
0,1556,3,4,2,1,0
0,1557,3,2,4,0,1
0,1563,3,1,2,0,4
0,1568,4,2,1,3,0
0,1569,3,1,4,2,0
0,1574,2,3,1,4,0
0,1577,0,3,4,1,2
0,1579,2,4,3,1,0
0,1581,4,0,3,1,2
0,1584,0,3,1,2,4
0,1585,0,1,3,2,4
0,1587,3,0,2,4,1
0,1590,2,3,4,0,1
0,1592,3,4,2,0,1
0,1594,1,4,3,2,0
0,1598,1,0,2,3,4
0,1602,3,4,0,2,1
0,1608,3,4,0,2,1
0,1612,3,4,0,1,2
0,1613,0,2,1,3,4
0,1615,2,4,0,1,3
0,1621,1,0,2,3,4
0,1624,1,0,4,2,3
0,1629,1,0,3,4,2
0,1630,1,2,4,3,0
0,1631,2,1,3,0,4
0,1632,4,2,0,3,1
0,1634,2,4,1,0,3
0,1636,2,4,1,0,3
0,1637,2,4,3,1,0
0,1639,3,0,2,4,1
0,1640,4,1,2,3,0
0,1641,2,1,3,4,0
0,1642,0,1,4,2,3
0,1643,2,4,3,0,1
0,1644,1,3,4,0,2
0,1647,1,3,2,4,0
0,1648,2,0,1,3,4
0,1649,2,3,1,0,4
0,1650,3,0,2,4,1
0,1652,2,1,3,0,4
0,1654,4,2,1,0,3
0,1656,2,4,0,1,3
0,1657,3,2,0,4,1
0,1658,0,4,1,2,3
0,1667,3,0,1,4,2
0,1668,0,1,4,3,2
0,1669,4,0,3,2,1
0,1673,4,1,2,0,3
0,1676,1,4,3,2,0
0,1677,4,0,2,3,1
0,1680,4,3,1,0,2
0,1681,2,3,4,0,1
0,1682,4,0,2,1,3
0,1683,0,4,2,1,3
0,1686,3,0,4,2,1
0,1687,0,4,2,1,3
0,1689,1,0,3,2,4
0,1695,2,4,3,1,0
0,1698,3,2,0,4,1
0,1699,0,3,4,1,2
0,1700,2,0,3,1,4
0,1701,0,2,3,1,4
0,1702,0,3,1,2,4
0,1703,3,4,1,0,2
0,1704,0,1,2,3,4
0,1705,1,3,0,4,2
0,1706,1,2,4,0,3
0,1707,1,0,3,2,4
0,1708,0,2,1,3,4
0,1716,2,4,0,3,1
0,1717,3,2,0,4,1
0,1718,2,1,0,3,4
0,1719,0,1,4,3,2
0,1727,0,2,4,1,3
0,1732,3,4,2,0,1
0,1733,0,2,1,4,3
0,1738,0,1,4,3,2
0,1739,0,4,3,1,2
0,1743,3,0,2,1,4
0,1744,4,2,3,0,1
0,1745,4,1,2,0,3
0,1747,3,1,2,0,4
0,1750,3,2,0,4,1
0,1752,4,1,2,3,0
0,1755,4,2,0,1,3
0,1770,2,0,4,3,1
0,1775,3,2,1,0,4
0,1778,3,4,1,0,2
0,1779,1,2,4,0,3
0,1780,2,0,4,1,3
0,1785,3,4,1,0,2
0,1786,1,4,0,3,2
0,1787,0,3,4,2,1
0,1792,3,2,1,4,0
0,1793,3,1,2,0,4
0,1795,3,4,2,0,1
0,1798,0,4,2,1,3
0,1800,4,0,3,2,1
0,1803,2,1,3,4,0
0,1804,3,0,4,1,2
0,1806,3,4,2,1,0
0,1810,0,3,4,2,1
0,1811,1,3,2,4,0
0,1813,3,4,2,1,0
0,1814,3,0,1,2,4
0,1816,0,4,3,1,2
0,1820,4,2,0,1,3
0,1823,4,3,1,2,0
0,1830,0,1,3,2,4
0,1831,0,3,4,2,1
0,1833,4,0,3,2,1
0,1838,4,3,0,2,1
0,1840,4,3,1,2,0
0,1841,4,3,1,2,0
0,1848,4,3,0,1,2
0,1849,2,0,1,3,4
0,1850,2,4,0,1,3
0,1852,2,1,0,3,4
0,1853,2,4,1,0,3
0,1856,0,3,4,2,1
0,1857,0,3,4,1,2
0,1858,2,0,3,4,1
0,1859,4,3,2,1,0
0,1861,1,4,0,3,2
0,1862,0,3,1,2,4
0,1863,3,4,0,2,1
0,1866,3,0,2,1,4
0,1871,3,2,1,4,0
0,1875,2,4,3,1,0
0,1876,1,3,2,4,0
0,1879,4,3,2,1,0
0,1882,1,4,3,2,0
0,1883,2,4,0,1,3
0,1884,2,0,1,4,3
0,1885,0,2,3,4,1
0,1887,3,0,1,4,2
0,1891,3,4,2,1,0
0,1896,4,2,3,0,1
0,1897,3,0,4,1,2
0,1898,1,4,2,3,0
0,1899,1,2,0,4,3
0,1907,3,2,1,4,0
0,1909,1,4,3,0,2
0,1910,3,2,1,0,4
0,1916,4,0,1,2,3
0,1919,1,0,2,4,3
0,1920,2,4,0,3,1
0,1924,3,1,0,4,2
0,1925,1,4,0,2,3
0,1927,1,4,3,0,2
0,1928,4,3,1,0,2
0,1930,4,0,3,1,2
0,1932,4,1,3,0,2
0,1934,0,1,2,4,3
0,1936,2,1,0,3,4
0,1942,1,0,2,3,4
0,1944,0,3,4,2,1
0,1945,0,2,1,4,3
0,1947,4,3,2,1,0
0,1950,3,1,4,0,2
0,1954,3,1,2,4,0
0,1956,4,3,2,1,0
0,1957,1,2,3,4,0
0,1960,4,1,2,3,0
0,1968,2,0,3,1,4
0,1971,4,3,0,2,1
0,1974,2,4,0,3,1
0,1978,4,3,0,1,2
0,1979,2,4,3,1,0
0,1980,3,4,1,2,0
0,1981,2,0,1,4,3
0,1983,0,3,2,4,1
0,1985,3,1,0,2,4
0,1986,4,3,0,1,2
0,1988,3,4,1,0,2
0,1989,3,2,0,1,4
0,1990,2,0,3,4,1
0,1992,3,0,1,2,4
0,1998,1,2,0,4,3
0,2001,0,2,3,4,1
0,2004,2,3,1,4,0
0,2007,1,2,4,3,0
0,2010,1,4,2,0,3
0,2012,1,0,4,3,2
0,2018,4,0,3,2,1
0,2020,4,3,1,2,0
0,2021,3,0,1,2,4
0,2022,4,0,2,3,1
0,2025,2,0,1,4,3
0,2026,2,0,4,1,3
0,2031,1,4,0,3,2
0,2032,0,3,2,4,1
0,2035,0,4,1,2,3
0,2038,0,3,4,1,2
0,2040,3,0,4,2,1
0,2041,0,2,4,1,3
0,2046,2,4,1,0,3
0,2048,1,2,3,0,4
0,2049,0,2,3,1,4
0,2052,3,2,1,0,4
0,2053,0,4,2,1,3
0,2054,1,2,3,0,4
0,2056,4,0,1,2,3
0,2059,3,0,1,2,4
0,2063,4,3,1,2,0
0,2064,1,3,4,0,2
0,2066,1,4,3,2,0
0,2067,1,0,2,3,4
0,2068,4,1,2,3,0
0,2076,1,4,3,0,2
0,2081,2,1,3,4,0
0,2088,0,1,3,2,4
0,2089,3,0,4,1,2
0,2092,1,4,3,2,0
0,2099,1,0,2,4,3
0,2100,2,1,0,4,3
0,2102,2,0,1,4,3
0,2106,2,3,4,1,0
0,2109,4,3,1,0,2
0,2112,4,1,3,2,0
0,2113,4,1,2,3,0
0,2116,1,3,0,2,4
0,2117,0,3,4,1,2
0,2120,3,0,1,4,2
0,2122,3,1,4,2,0
0,2124,0,2,1,4,3
0,2126,0,1,4,3,2
0,2127,0,3,2,1,4
0,2130,3,1,4,2,0
0,2139,3,2,4,0,1
0,2140,1,3,0,2,4
0,2142,2,4,3,1,0
0,2146,2,4,1,0,3
0,2147,4,1,3,0,2
0,2148,2,0,1,4,3
0,2150,2,3,1,4,0
0,2151,4,1,0,2,3
0,2157,2,3,4,0,1
0,2160,4,3,2,1,0
0,2163,2,1,3,4,0
0,2167,2,0,4,3,1
0,2172,1,3,4,0,2
0,2173,2,1,4,3,0
0,2175,2,3,4,1,0
0,2179,2,4,3,1,0
0,2184,3,4,2,0,1
0,2185,3,4,0,1,2
0,2189,3,4,0,1,2
0,2192,0,2,4,3,1
0,2201,3,4,1,2,0
0,2202,1,0,4,3,2
0,2204,2,3,0,1,4
0,2205,4,2,3,0,1
0,2206,0,4,1,3,2
0,2209,2,1,0,3,4
0,2210,0,2,3,4,1
0,2216,0,1,4,3,2
0,2217,3,0,4,1,2
0,2218,2,1,4,0,3
0,2221,0,2,1,4,3
0,2223,1,0,4,2,3
0,2224,0,2,1,3,4
0,2230,2,0,4,3,1
0,2233,3,4,0,2,1
0,2237,1,0,4,3,2
0,2240,3,2,0,1,4
0,2242,3,1,4,2,0
0,2243,3,2,1,0,4
0,2248,3,4,1,0,2
0,2250,1,3,2,4,0
0,2251,2,4,0,3,1
0,2255,0,3,2,1,4
0,2257,4,0,1,3,2
0,2258,1,3,0,4,2
0,2261,0,3,4,2,1
0,2266,0,4,2,1,3
0,2267,4,1,0,3,2
0,2272,2,0,3,4,1
0,2275,3,4,0,2,1
0,2277,4,0,1,3,2
0,2278,2,4,0,3,1
0,2282,4,2,1,0,3
0,2283,1,0,4,3,2
0,2288,4,3,2,0,1
0,2291,4,0,1,2,3
0,2298,2,0,1,4,3
0,2299,0,2,1,3,4
0,2303,4,2,0,1,3
0,2304,1,3,0,4,2
0,2305,2,4,3,1,0
0,2307,2,0,1,3,4
0,2310,2,3,0,4,1
0,2311,2,4,0,1,3
0,2312,3,4,2,1,0
0,2314,1,2,4,0,3
0,2315,1,0,4,2,3
0,2319,1,4,0,3,2
0,2321,3,2,4,0,1
0,2323,0,2,4,3,1
0,2324,1,2,3,0,4
0,2330,2,3,4,0,1
0,2332,0,1,4,2,3
0,2334,2,1,3,4,0
0,2335,4,3,0,2,1
0,2338,4,1,3,2,0
0,2339,1,2,3,4,0
0,2345,4,1,0,3,2
0,2346,4,3,1,2,0
0,2349,0,3,2,1,4
0,2356,2,0,3,1,4
0,2358,0,3,1,2,4
0,2361,1,0,2,4,3
0,2364,1,4,0,2,3
0,2366,3,0,2,1,4
0,2368,1,4,0,3,2
0,2372,1,0,2,4,3
0,2375,0,4,2,1,3
0,2376,4,2,1,3,0
0,2378,0,2,1,4,3
0,2379,2,1,4,3,0
0,2383,1,4,3,2,0
0,2384,1,0,4,3,2
0,2385,1,4,0,3,2
0,2386,1,3,2,0,4
0,2387,4,1,2,3,0
0,2390,0,3,4,2,1
0,2395,0,2,3,4,1
0,2396,0,1,4,3,2
0,2399,0,3,1,2,4
0,2407,0,1,3,4,2
0,2409,2,4,3,1,0
0,2410,4,1,2,3,0
0,2411,4,2,1,3,0
0,2413,0,2,1,4,3
0,2414,2,4,3,0,1
0,2416,0,1,4,3,2
0,2417,4,0,3,2,1
0,2419,0,2,4,1,3
0,2422,4,0,3,2,1
0,2428,0,1,3,2,4
0,2430,2,3,4,1,0
0,2431,0,4,1,3,2
0,2432,4,2,0,3,1
0,2436,4,2,1,0,3
0,2439,2,0,3,1,4
0,2440,0,1,3,4,2
